013,001,010,028,012,009
013,028,002,012,009
001,013,028,016,017
013,001,021,028,020
028,013,003,006,005
001,013,028,011,023,022
013,010,028,002,023,021
013,010,001,022,028,023
001,028,012,013
001,013,003,010,023,027
025,001,013,023,022,028
001,028,013,026,002,003
028,013,022,023,018
028,001,013,010,012,024
024,012,013,018,023
013,010,016,017,020
001,028,013,002,010,011
013,006,011,003,028,012
013,028,023
028,001,013,025,023,022
001,010,028,013,022,003
010,013,004,012,011,002
024,001,013,028,006,025
001,028,025,026,013
013,012,002,006,008
001,028,013,002,003,016
001,013,006,028,027,016
001,013,028,009,002,004
026,025,028,013,020
042,053,030,057,039,047
042,043,046
042,032,043,031,035,041
042,057,040,046,052
054,030,042,032,057,035
042,057
030,042,041,039,045,052
030,042,032,054,057,049
030,042,057,039,055,031
030,042,055,041,057,052
042,030,032,039,037,034
030,054,042,031,057
042,052,057,039,045
030,042,043
042,052,047
030,055,042,032,035,058
054,055,042,035,045,046
042,052,043,057,051
030,057,042,052,049
053,030,042,031,051,052
030,042,031,052,050,038
030,057,055,042,031,032
057,042,049,052
030,057,042,031,033,045
030,057,054,042,032,052
042,031,037,058,045,056
042,057,051,049
030,057,042,031,039,048
030,057,042,055,043
030,057,055,042,052
055,042,049,056,053,031
041,042,035,055,049,031
042,055,039,051,046,052
057,042,031,052,040,038
030,057,042,039,040,038
042,052,053,049,032,051
042,038
057,042,049,051
057,030,042,032,033,056
055,042,032,051,052,049
042,039,049,035,043,051
053,054,042,056,045,050
030,057,055,042,052
072,073,059
072,060,061,073,065,069
072,059,068,071,069,065
072,067,060,071
059,072,073,068,060
059,072,073,065,061
059,072,071,070,073,061
072,073,068,071
059,072,073,069,060,070
059,072,073,071,070,069
072,073,059
059,072,070,063,069,061
059,072,073,066,062,074
072,073,060,069,061,063
059,071,072,065,069,068
059,072,069,067,073,062
072,070,069,059,073
072,059,073,071,070,064
059,072,073
072,059,069,068,073
072,073,069,068,070,060
059,071,072,060,061,068
059,072,069,060,073,068
059,072,073,060,065,061
072,073,074,059
059,072,073
072,059,062
059,072,073,060
059,072,070,064,067,069
072,073,059,060,068,061
072,073,069,071,064,060
073,072,063,068,062,066
069,070,072,059,073,060
072,063,066,064,068
072,065,068
059,073,072,068,060,061
059,073,072,063,070,060
072,070,059,067,064,060
070,072,071,065,061,062
059,072,073,068,062,065
059,072,063,064,068,062
059,073,072,065,064,068
072,071,069,063
059,071,072,073,063
059,072,073,070,071,069
059,073,072,071,069,070
059,072,073,065,060,064
059,073,072,060,065,069
072,059,073,063,069,074
059,069,073,072,068
073,072,060,064,065,068
072,073,060,065,068,063
073,059,072,060,070,061
088,089,084
088,075,081,076,077,079
088,089,084,090
088,087,089
088,084,077,075,076,081
088,085,087,089,077,084
088,089,086,075,084,080
088,089,086
088,079,077,080,087,076
075,088,085,079
088,076,079,087,075
075,088,089,087,085
075,088,076,086,087,084
088,089,075,076,077,080
088,079,085,081,087,084
075,088,089,085,076,077
088,075,089,085,084,086
075,088,089,085
075,088,085,076,089,079
088,084,077,089,079,082
088,087,084
088,087,086,090,081,089
088,076,086,079,080,084
075,088,089,076,086,087
088,089,079
088,089,076,086,080,090
087,088,083,086,089,078
088,087,089,083,085,082
088,079,086,090
088,083,082,087,086,084
087,088,075,089
088,084,087,083,082,076
088,089,076,079,083,090
088,076,084
088,076,089,087,086,085
088,089,084,080,075,085
088,089,078,081,083,085
075,088,087,077,090,080
088,083,079,087,086,090
075,088,089,087,076,090
075,088,087,089,083,086
088,089,081
075,087,088,081,089,076
087,085,088,086,090
089,088,076,079,077,084
088,089,085,076,084,077
088,089,086,079,078,084
089,088,080,075
089,088,078,083,082,077
089,088,076,084,082,080
089,088,076,085,084
089,088,076,077,086,079
075,088,089,076,082,084
089,088,084,086,090,079
088,085,087,083,076,078
089,088,076,087,083,079
082,088,081,084,077,089
081,089,088,083,082
075,088,089,085,076,080
075,088,081,089,085,077
075,089,088,076,080,077
088,080,081,084,077,083
082,088,089,076
089,088,076,085,081,086
089,081,088,083,082,079
088,084,079,087,080,077
087,085,086,083,089,088
075,089,088,087,079,078
075,089,088,084,076,083
085,088,083,076,086,080
075,089,088,076,087,084
075,088,084,076,082,077
088,089,087
075,087,085,088
088,089,081,085,079,084
089,088,076,077,078,083
088,089,077,079,084,078
075,089,088,085,081,077
085,089,088,077,090,084
088,075,077,089
075,085,089,088,077,080
075,088,089,080,083,078
075,089,088,078,085,086
085,083,087,088,086,090
088,089,083,077,085,079
089,088,076,086,077,084
087,088,085,089,086,080
083,088,089,082,077,084
088,089,076,083,086,080
089,088,077,076,078,090
